,4,6,12,14,15,0_x,0_y,1_x,1_y,2_x,2_y,3_x,3_y,4_x,4_y,5_x,5_y,6_x,6_y,7_x,7_y,8_x,8_y,9_x,9_y,10_x,10_y,11_x,11_y,12_x,12_y,13_x,13_y,14_x,14_y,15_x,15_y,16_x,16_y,17_x,17_y,18_x,18_y,19_x,19_y,20_x,20_y,21_x,21_y,22_x,22_y,23_x,23_y,24_x,24_y,25_x,25_y,26_x,26_y,27_x,27_y,28_x,28_y,29_x,29_y,30_x,30_y,31_x,31_y,32_x,32_y,33_x,33_y,34_x,34_y,35_x,35_y,36_x,36_y,37_x,37_y,38_x,38_y,39_x,39_y,40_x,40_y,41_x,41_y,42_x,42_y,43_x,43_y,44_x,44_y,45_x,45_y,46_x,46_y,47_x,47_y,48_x,48_y,49_x,49_y,50_x,50_y,51_x,51_y,52_x,52_y,53_x,53_y,54_x,54_y,55_x,55_y,56_x,56_y,57_x,57_y,58_x,58_y,59_x,59_y,60_x,60_y,61_x,61_y,62_x,62_y,63_x,63_y,64_x,64_y,65_x,65_y,66_x,66_y,67_x,67_y,68_x,68_y,69_x,69_y,70_x,70_y,71_x,71_y,72_x,72_y,73_x,73_y,74_x,74_y,75_x,75_y,76_x,76_y,77_x,77_y,78_x,78_y,79_x,79_y,80_x,80_y,81_x,81_y,82_x,82_y,83_x,83_y,84_x,84_y,85_x,85_y,86_x,86_y,87_x,87_y,88_x,88_y,89_x,89_y,90_x,90_y,91_x,91_y,92_x,92_y,93_x,93_y,94_x,94_y,95_x,95_y,96_x,96_y,97_x,97_y,98_x,98_y
0_x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,1003.7039925822936,2638.3767656048344,1003.7972838338625,2638.170796299707,1003.6380221423206,2638.420411642398,1003.952464396276,2638.217870740807,1003.8293669790244,2638.344143772816,1003.7066076621442,2638.322430948217,1003.7276064832453,2638.3627969076983,1003.8211528587084,2638.2086226073984,1003.972283776402,2638.147983578253,1003.7347125286196,2638.3894656171674,1003.8676696905916,2638.319982162714,1003.6978495871887,2638.136590761578,1003.9452283765114,2638.263785795758,1003.7285486618837,2638.3369743965077,1003.7865911026303,2638.2573821839705,1003.8103486919639,2638.151056577278,1003.7109208509145,2638.2214476967915,1003.7566716014584,2638.19789227141,1003.7385314612458,2638.2824243370815,1003.8237712673263,2638.2628497512014,1003.848023854661,2638.3359050630706,1003.7635691814766,2638.3002617104376,1003.988562850414,2638.3398897471434,1003.8001512343042,2638.2383425920852,1003.7979597726511,2638.1799950870873,1003.7261950532175,2638.297015883912,1003.7692635988122,2638.247941750845,1003.756663089322,2638.0858681355166,1003.9110686517894,2638.154886673194,1003.9356903865366,2638.1294373278242,1003.7992442327236,2638.2091446801464,1003.8390665443995,2638.2071534246616,1003.734047492385,2638.231145579788,1003.8376269814697,2638.170334754134,1003.8968471012037,2638.159261076774,1003.7511000456045,2638.171728292173,1003.8395674526313,2638.157903076748,1003.8136771490247,2638.263741229345,1003.7818124213924,2638.2509012192522,1003.7812985210519,2638.251789744233,1003.7675452539813,2638.2026783352435,1003.7139112857574,2638.2180159759296,1003.8083197358867,2638.188127477335,1003.7679983163916,2638.2343082249686,1003.8565901551179,2638.2759633253954,1003.7439314004547,2638.0517108361005,1003.8723143739642,2638.1019305919526,1003.6936999223598,2638.0724719431355,1003.8495600148259,2638.2294286253077,1003.7701798766134,2638.1311611153596,1003.7324759517614,2638.0446609520013,1003.7353518969754,2638.0913947790773,1003.7411865978299,2638.096040654851,1003.8169135352081,2638.008414109496,1003.8768166216335,2638.011197265586,1003.802841021961,2637.991267137667,1003.7152995760208,2638.041359636545,1003.6917473583233,2638.1113065313184,1003.7527117158471,2638.069250176395,1003.7735012895857,2638.027828892246,1003.7724166316268,2638.0210879760903,1003.906510221864,2638.113849207243,1003.8835191413684,2638.1195740637527,1003.8087766729017,2638.1421568007067,1003.862794464198,2638.070084093461,1003.8641649767654,2638.1383589204547,1003.8369226201035,2638.013095238026,1003.7388049536931,2638.1958827585936,1003.9651762990666,2638.075236501542,1003.8266731344014,2638.1716182004197,1003.767289294282,2638.095430978821,1003.8220803548279,2638.1227713369444,1004.0386973655758,2638.02537854603,1003.9495110818526,2638.121067967435,1003.9489465733934,2638.0176027971916,1003.8192045892679,2638.094767667308,1003.7920647086303,2637.9565249179445,1004.0199155536233,2638.0020167819885,1003.7592636291666,2638.124433744971,1003.8356526462031,2637.9370280905723,1003.8600253192216,2638.0431429321275,1004.0050080885984,2638.1227714047677,1003.8316206034572,2638.1084122956186,1003.8719532163818,2638.09159586627,1003.8172233090878,2637.9906660421834,1003.8327892250031,2637.9266819197155,1003.8518957043378,2638.0919349301416,1003.9831400208993,2637.9760236241145,1003.7130607389341,2637.9925615814186,1003.9357897719905,2637.7952552392394,1003.7495971880392,2637.930614649958,1004.1308552902843,2637.796819989474,1003.9690335805396,2637.8846091609057,1003.8399125338674,2637.953103187933,1004.0057254158601,2637.858137272325,1003.8060828069038,2637.997897221074,1003.697965189664,2637.896786668474,1003.6629895758219,2637.9123794565567,1003.9213559150026,2637.987549119165
6,,,,,,2594.0032639280485,584.7117401996135,2594.0514653094565,584.7421034078021,2593.9714345673574,584.8142407639941,2594.1611566546117,584.9099993519935,,,2594.070089418637,584.9149431496298,2593.7018624698894,584.8296165589761,2593.915586352337,584.7338678545692,2594.0876886791543,584.7154309523856,2594.063157512571,584.8388004179974,2594.0462073058948,584.8918428068043,2594.1912858661,584.9243823097021,2594.0120619508325,584.7656337860557,2594.186220908318,584.6995260237956,2594.072667663003,584.8491300331142,2593.8518136094176,584.9882045064203,2594.182326602534,584.7268841420336,2594.1085309353566,584.7629451356448,2593.9931913743753,584.7801851653784,2594.274999806384,584.9156973982784,2594.0768320175325,584.6683039406831,2594.0935590129193,584.7912480368992,2593.930311323898,584.6338168997579,2594.1415182290225,584.637694100452,2594.0171505903286,584.7555117075423,2594.0517731391233,584.7819776311695,2594.0640537050685,584.6623184971696,2594.13239605871,584.8184292856206,2594.1964302981987,584.6098111234015,2594.182234469339,584.5830976606379,2593.962332275811,584.5992536235024,2594.137393605103,584.8542958160823,2594.00880715671,584.7701032008538,2594.0081979291585,584.6809326174681,2594.058038344458,584.8077853845404,2594.1645311859925,584.6900017111856,2594.00155438556,584.8300487356713,2594.253132483851,584.5699201622252,2594.1360692094318,584.4553431609689,2594.031361930616,584.5274283968631,2594.1098223195477,584.8612887885753,2594.0064281399036,584.6920508184382,2594.081369658087,584.5706649775354,2593.90779113623,584.7838181822576,2594.005430508447,584.5787718726177,2594.251499905651,584.5947765660277,2594.272306536627,584.7084069675269,2593.903456173469,584.6219947167108,2594.0369027757183,584.5295031728805,2593.8109283348786,584.5917150624657,2594.026269075476,584.3741174264679,2593.9114735241515,584.5299471313629,2594.0442582688142,584.6367187181442,2593.887640517595,584.6772995839797,2593.992935831022,584.3966444301108,2594.2300139907056,584.5916672506352,2593.831945483668,584.4747742821729,2594.0939859523837,584.468644356605,2594.150202848711,584.5732702587676,2593.7068349953774,584.204730881425,2593.7983945681335,584.7023751316162,2593.873940342263,584.673852470634,2593.9112907717035,584.7848902986001,2594.0181864409315,584.3840304052861,2594.012194602728,584.5870310846842,2594.210730022521,584.581107636874,2594.142796307183,584.677486999973,2593.9718325361246,584.442672930648,2594.145844382568,584.2041578755465,2594.1288834433117,584.6204105330164,2593.805972349381,584.5380584122671,2594.146646512896,584.4976071134896,2593.909389619255,584.5655061335642,2594.096990605866,584.3542572832929,2594.058322386523,584.5565203261476,2593.7538792449895,584.5235634705788,2593.81664012761,584.372868450312,2593.826335663534,584.2371172313268,2593.9541845700114,584.7009022536772,2594.105760214929,584.6752105441547,2594.037395992502,584.4720451612699,2593.995569300452,584.4402372889441,2593.8642503297688,584.4158646677981,2593.9471597729685,584.2385591485455,2593.9870058012275,584.237071352751,2593.6941234328033,584.3708330571494,2594.006012169833,584.4613158911746,2594.0760731447353,584.5104716608098,2594.1624437456176,584.4442214081515,2593.903053670852,584.2982174134622,2593.9617136918732,584.4743215616732,2593.9971825808652,584.3985751884047,2594.275405452071,584.2717420078807,2593.730938376252,584.3062956962004,2593.8658085472953,584.3712405169533,2593.7983435824367,584.4363238249576,2593.895354290156,584.2953960367727,2593.9938867759874,584.4438719794194,2594.168994535278,584.3166781845254
12,,,,,,2695.020558336972,1772.5930915906813,2694.817541785709,1772.529836449199,2695.2698314263253,1772.6003606571537,2695.0664314475966,1772.5484688520237,2694.8036360812016,1772.2618063149266,2694.9849727732912,1772.293897564889,2694.7007246722915,1772.4720645999414,2695.1792018745923,1772.5803934922205,2694.9485191076624,1772.644544048598,2694.807650021449,1772.5337238468103,2694.8643446862698,1772.4070495516655,2694.761003330861,1772.4323796406147,2694.6330404435644,1772.4868614252875,2695.0616130485982,1772.431392786662,2694.883237070086,1772.2708853549166,2695.217826690168,1772.355958746867,2693.941498786306,1772.9135455376245,2694.7396235062542,1772.0675567989385,2694.5210872942152,1772.3943455076171,2694.7161734793876,1772.5287252358285,2695.084381034438,1772.2230811493587,2694.918900368829,1772.6124718661938,2695.002105243597,1772.5259898320724,2694.671724433803,1772.295734961776,2694.6314822099894,1772.3136610034267,2695.1774293437074,1772.3565083230937,2695.086307255605,1772.4245737330245,2694.663421313575,1772.5767181168364,2695.297815357098,1771.9313152409732,2694.754170198414,1772.3406589737126,2695.064909753894,1772.6102526543182,2694.665438934631,1772.3961684533274,2694.666139925089,1772.4482463610707,2694.81705049837,1772.3544535524886,2694.9636449204295,1772.5540110655993,2695.0474400642556,1772.3960499144737,2694.676156268483,1772.5168141288445,2694.9142870046526,1772.3571275777672,2694.7916689060967,1772.1669064035761,2694.958387957291,1772.2239558200563,2694.983721517395,1772.251204159935,2694.7805135249087,1772.3988527318566,2694.658688323204,1772.5170183783325,2695.050754736056,1772.1407558735027,2694.736926743612,1772.4379194514515,2694.7487647465528,1772.1660895181376,2694.7747948721535,1772.4041899764488,2694.962338086788,1772.2001625167127,2694.6009650648293,1772.2449751341467,2694.8388207315406,1772.1593452294112,2694.809827721611,1772.2469310688755,2694.9498269285937,1772.2305620105315,2694.9473939348986,1772.071328860899,2694.799720329433,1772.0060420865027,2694.9254696241865,1772.126148462567,2695.1205744598224,1772.289333801197,2694.7489020441167,1772.148907925231,2694.809156213491,1772.2772978550322,2694.8800593189167,1772.253492708804,2694.9574586161925,1772.3928647031992,2695.161165381653,1772.2053385992742,2694.8387184449753,1772.0680932799437,2695.046481342278,1772.352476237267,2694.9336027601944,1772.4213571301518,2695.1460282551197,1772.1447179811744,2694.811590166124,1772.4176025239206,2694.973185453492,1772.148846010524,2695.0346222448748,1772.030001942431,2694.9597582819038,1772.0938515809082,2695.1163795125904,1772.3089736198062,2694.8776056702877,1772.2515371392626,2695.092181859774,1772.0955296612033,2695.041524231317,1772.2739450898457,2694.850131708643,1772.2705126584383,2694.9894473305185,1772.3015452457014,2694.7932817188403,1772.385698683846,2695.3297987833507,1771.1406583487812,2695.088559933309,1772.2064772767878,2694.9124580404373,1771.9120650867742,2694.8265364501567,1772.1711826812905,2694.9349152952927,1772.1093637075958,2694.9204782636966,1772.0640666625163,2694.9139148580375,1772.172532536776,2694.9310468672716,1772.185245434517,2695.103936913919,1771.3973144698664,2694.974070646365,1771.8451710586025,2694.863668421662,1771.9262317457371,2694.7630986132876,1771.9983556376276,2695.0729951648746,1772.0315637980996,2694.977881703049,1771.6784428006656,2694.9477350863767,1771.8991240204878,2694.8429958099973,1772.277870108444,2695.130885762577,1772.0053018026845,2694.7900380480023,1772.0397095096948,2694.7168548205946,1771.903736549992,2694.6595977061925,1772.0452400744173,2695.1320280847167,1772.116794433531,2694.830531244117,1772.1339157594837,2694.9541387183085,1772.0342264915485
