,17,7,1,12,25,19,16,11,10,5,4,3,2,8,0,18,13,6,0_x,0_y,1_x,1_y,2_x,2_y,3_x,3_y,4_x,4_y,5_x,5_y,6_x,6_y,7_x,7_y,8_x,8_y,9_x,9_y,10_x,10_y,11_x,11_y,12_x,12_y,13_x,13_y,14_x,14_y,15_x,15_y,16_x,16_y,17_x,17_y,18_x,18_y,19_x,19_y,20_x,20_y,21_x,21_y,22_x,22_y,23_x,23_y,24_x,24_y,25_x,25_y,26_x,26_y,27_x,27_y,28_x,28_y,29_x,29_y,30_x,30_y,31_x,31_y,32_x,32_y,33_x,33_y,34_x,34_y,35_x,35_y,36_x,36_y,37_x,37_y,38_x,38_y,39_x,39_y,40_x,40_y,41_x,41_y,42_x,42_y,43_x,43_y,44_x,44_y,45_x,45_y,46_x,46_y,47_x,47_y,48_x,48_y,49_x,49_y,50_x,50_y,51_x,51_y,52_x,52_y,53_x,53_y,54_x,54_y,55_x,55_y,56_x,56_y,57_x,57_y,58_x,58_y,59_x,59_y,60_x,60_y,61_x,61_y,62_x,62_y,63_x,63_y,64_x,64_y,65_x,65_y,66_x,66_y,67_x,67_y,68_x,68_y,69_x,69_y,70_x,70_y,71_x,71_y,72_x,72_y,73_x,73_y,74_x,74_y,75_x,75_y,76_x,76_y,77_x,77_y,78_x,78_y,79_x,79_y,80_x,80_y,81_x,81_y,82_x,82_y,83_x,83_y,84_x,84_y,85_x,85_y,86_x,86_y,87_x,87_y,88_x,88_y
6,,,,,,,,,,,,,,,,,,,821.1804216371484,1349.7315758236452,,,,,822.6691214649773,1733.0968633705984,880.351697657212,1793.015322233859,952.8160991172086,1796.9046051849687,1005.2579906415251,1864.8980786431375,1005.2971616534459,1865.0261457498539,1024.5645683062648,2003.0217947620836,968.7331093924844,2243.6750050791265,,,,,790.6261224861921,2651.068374481244,790.6808032921479,2651.1239377443744,790.7601532903982,2651.176695523234,790.6892911738919,2651.204192062437,790.7033627833056,2651.178013697873,790.6745747445353,2651.1171843517664,790.7471676852142,2651.177426728594,790.7288202774953,2651.1880976087327,790.7442595581887,2651.16095900129,790.6635558443999,2651.2165685058403,790.6267320392197,2651.194172521347,790.7021634337143,2651.224959478867,790.7475823579093,2651.1807406495877,790.7819760565372,2651.2013663491084,790.7699133457738,2651.2178363168955,790.6805526663533,2651.2859316725458,790.739763915279,2651.2812767022933,790.7218107803185,2651.313447649475,790.7322814423203,2651.2675418200106,790.7581684923227,2651.226647218139,790.7618659418249,2651.2280999620025,790.7120396968776,2651.288827084905,790.7705620093919,2651.22114753089,790.7646907612858,2651.2503952341885,790.7646011763738,2651.2905760733747,790.7265514098368,2651.2837146510137,790.694163464558,2651.237250511526,790.6637301075012,2651.336452855162,790.7049309922085,2651.228187360359,790.7101891269584,2651.298709981835,790.7384701103871,2651.2441336888533,790.7446397232934,2651.208958708147,790.694446835165,2651.2847226288177,790.7026163845441,2651.276648332165,790.6714084016851,2651.3430449315206,790.7189715703527,2651.327533809337,790.7580064719077,2651.288993417832,790.7923587649959,2651.3341410389103,790.7683653511325,2651.2466897978516,790.7600731110401,2651.2569701888947,790.765341070985,2651.3238878841034,790.7120338150562,2651.356562476269,790.7351569587181,2651.2729689588673,790.6765618385924,2651.290194945968,790.7219392497047,2651.3323743009814,790.728726635462,2651.2743212275004,790.7582630889684,2651.2486507659187,790.7853809882347,2651.319711425124,790.8230663983343,2651.273800188721,790.8085241826794,2651.302895599822,790.7850364160736,2651.28635756417,790.7057679400414,2651.239090140911,790.8047526903011,2651.287348615656,790.8082096179463,2651.298337279674,790.7120135796068,2651.316383283633,790.7512426351382,2651.2672936560343,790.7794542037793,2651.290887661599,790.7632812982647,2651.2419131022557,790.7633518784987,2651.2720479781897,790.7126750956643,2651.218160700754,790.752039477911,2651.2729803169286,790.7704976618323,2651.3022033566676,790.7682431417331,2651.33852516464,790.7769153079545,2651.2961967585493,790.7536479548443,2651.2489086521964,790.7571840329525,2651.310883424208,790.7011746400136,2651.2362328158238,790.7726435770886,2651.327361548304,790.7464627917319,2651.2771111357283,790.7072297476283,2651.257009917971,790.7662932044219,2651.2849635432085,790.7312511052522,2651.258933169122,790.7722608366229,2651.223180830365,790.7986051522201,2651.274242769536,790.7780001277316,2651.3156291650553,790.751394137982,2651.2513466135424,790.7812599945719,2651.2622270783036
13,,,,,,,,,,,,,,,,,,,1017.3195839771448,1509.6675087650897,1030.5369181084234,1492.920343307087,1051.1587639015668,1537.730473301129,1047.2692173431524,1536.5476595928137,1041.496339825062,1555.770291962662,1078.278863816851,1521.278951234322,1187.4823819782105,1421.5615185610554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,1014.4736518727757,1248.5539792187026,1014.1571576956242,1248.9075898320123,1011.9066169800536,1248.9935059493853,1003.7691394649914,1217.039231644238,964.6335825149482,1151.7791898579626,913.411317990756,1012.1342534955223,832.0656592608831,919.4820691293304,,,,,,,,,407.77533502715175,679.753621991831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,1783.862800802919,1135.591431254438,1711.3887668440677,1123.3219388211735,1624.4692280696177,1077.3682489763676,,,,,1391.0625101204355,1052.8388635350937,1378.3885869602113,1056.5045473494936,1366.2373068265858,1058.8762764233807,1339.2612599928757,1035.2416248063325,1283.8739310762599,1019.6146740548636,1202.7655317472856,1015.3690070165785,1166.9801656092384,1038.680167905258,1081.6862301318176,1099.167272910745,1077.2739237736853,1102.9682280570971,883.1805268270936,1180.3342468354083,859.3500139979226,1189.9828571787998,797.9793986794325,1226.4497226341598,731.7148136907498,1281.4475755383985,716.3922117742796,1312.7236182346185,700.2744931401704,1510.8703312405921,685.449431763575,1689.3871191327962,802.2739509191088,1825.572019738914,1014.8206130237685,1859.1750915725993,1144.292842895928,2012.8040701292769,1267.7652067084857,2180.2562362685544,1408.9303265202886,2289.1817336378413,1547.6099560451016,2379.6239471908148,,,1819.2342401285844,2688.45368510297,1820.3890262983418,2689.773086074796,1820.4090415231265,2689.7572329488808,1820.4120413536737,2689.792926201643,1820.3593346875698,2689.780777016426,1820.3990049626304,2689.7264337351553,1820.3880235018362,2689.8031752709353,1820.4241427385953,2689.812698603971,1820.4194980802197,2689.734941875748,1820.355673205174,2689.7395247380596,1820.4007120692313,2689.80790863807,1820.4106095647285,2689.7877739032224,1820.4188130594198,2689.7398634412048,1820.3940595207494,2689.820846811515,1820.3457221909257,2689.8062822916795,1820.3550860622076,2689.71501803435,1820.400569287576,2689.793738253705,1820.4293429894658,2689.7757316223315,1820.4277890579046,2689.8481216180803,1820.363983265361,2689.800327550968,1820.3643942251208,2689.8127585607417,1820.3448734257574,2689.756183508996,1820.3814362518976,2689.787569104363,1820.383359604669,2689.770060046513,1820.3423389586076,2689.8322900730877,1820.3818177320431,2689.7921331147295,1820.4646867263339,2689.764397120089,1820.4074356287997,2689.7989015704966,1820.4333808742144,2689.8294536238045,1820.3903421938367,2689.7701651536527,1820.3359319576782,2689.8275354434054,1820.3764753860316,2689.8302473928356,1820.3300676200092,2689.842665817498,1820.3646662377048,2689.9025021361317,1820.3522062313098,2689.792328954924,1820.4212890128947,2689.821975896937,1820.4060763703055,2689.7887813314856,1820.4481781918926,2689.8326448536327,1820.3607554040564,2689.7854299057976,1820.4373140150228,2689.7631477195673,1820.3261360528738,2689.8599207785555,1820.4045826512754,2689.748954830224,1820.421315945811,2689.7266425124817,1820.4444166656763,2689.8062112716652,1820.4144955034474,2689.804156633097,1820.4235128102387,2689.831029730841,1820.4032225852557,2689.805179018735,1820.412483851925,2689.7727856150236,1820.3904545115292,2689.815403926648,1820.40632388196,2689.853540095238,1820.4100779379587,2689.7925295584137,1820.3992401936239,2689.812854087759,1820.416959815646,2689.8291320752464,1820.3807226022254,2689.7671612955182,1820.3388409208058,2689.8467442172196,1820.4414738646012,2689.8680645615314,1820.3833118743821,2689.7987270002964,1820.39761047555,2689.7660439207198,1820.401558834391,2689.7615716643345,1820.411593400042,2689.7500880038847,1820.4744220520095,2689.7944258553844
8,,,,,,,,,,,,,,,,,,,1418.2196252567617,1639.556411489595,1422.928707118366,1639.8580170580485,1431.5181257416273,1640.0035456601422,1435.717662910571,1640.172098400267,1439.381986294548,1640.2529418738154,1446.7661569420077,1640.2428764124265,1457.6997239229602,1643.2376584043534,1466.3385803189421,1649.9103676154605,1485.4072778576115,1659.3381298374431,1507.5851911732655,1671.0665716339279,1520.444726861745,1681.6007032751525,1538.5947539811955,1692.0483859671438,1575.791711336156,1716.1280302456728,1595.2090075341362,1728.1738762390128,1661.4680495589412,1767.883288296019,1681.2684021580994,1780.4779336664458,1688.1133206959805,1787.66699308164,1699.9150756728461,1798.1198030205421,1701.4175530412201,1799.391729423513,1702.5047417078667,1799.7469462097276,1702.4369985642911,1799.8323756440122,1705.6544109479626,1801.3460471363098,1709.7134795618817,1802.6939318229092,1711.371738350148,1803.4998673689483,1713.231726982609,1803.941778657217,1718.7616333442995,1806.0462207060941,1721.8246501041042,1807.5791692584291,1721.9102852224282,1807.4124825222334,1727.0359738024833,1809.4727265202835,1730.1990859058703,1811.1414917677507,1752.1519136059826,1821.5545474165804,1752.2976991052194,1821.4991899801842,1756.0737336863979,1822.806635028487,1759.546091998462,1823.8060706349202,1764.189655060195,1825.0495156632192,1764.2330669025223,1824.9626110875536,1770.3232043060848,1826.660619174152,1778.3931870686679,1828.873772619769,1781.3808871738893,1829.8427575220303,1781.4418540714635,1829.8990430829892,1783.9248205982612,1830.701079125345,1787.760397643239,1831.7700284825548,1793.112331815159,1832.4457918817495,1793.0598468705675,1832.5266417046987,1796.2957790119165,1832.879553957127,1820.8981182577259,1843.0255252613988,1830.8757387712205,1847.7212788370427,1846.3178795990516,1856.38701382702,1865.090282191366,1868.8662870159726,1874.039995560735,1874.1446893840905,1890.2856503316143,1882.7808076833978,1907.0093507453623,1893.4285160037268,1909.58286022618,1894.8304535648429,1910.939815259511,1895.3788821993173,1919.3884368104048,1900.3936898278057,1923.711809950516,1902.32959761829,1928.1833459239908,1905.4624368727623,1928.1943268921832,1905.54547657012,1930.9801809910352,1907.4786571764885,1935.085941682905,1909.6655123298924,1942.0654960308211,1913.922661640669,1942.8409100106398,1914.1974143824004,1945.7495139355256,1915.3456028843502,1949.11201776724,1916.8670044261753,1954.4710560154822,1920.6324818340015,1956.3032891737028,1921.9663321316177,1956.284454678,1922.042554821596,1959.1354932570898,1924.151795897235,1974.2213531629627,1935.6931866013915,1974.0756778130415,1935.709958295375,1974.2348173401551,1935.8188523150166,1974.2179388751856,1935.7316921013553,1974.1673279615543,1935.8212358271319,1974.3557359505337,1935.8189134088616,1979.385100823564,1938.9120629586414,1982.0371495239656,1941.2718546258563,1984.881200740214,1943.6526191485389,1988.848324850181,1946.460897948003,1988.8619836332211,1946.4121476787739,1994.5467146048154,1951.4545283690131,1998.7684784509936,1953.910512409914,2001.81544957138,1955.7493390164302,2001.767157867746,1955.8962916929163,2005.7368623145921,1958.4366009347605,2009.9672457396052,1960.8538975372794,2022.446333853203,1969.2243754528674,2022.3742243376546,1969.1556894042428,2025.3831501332604,1971.038760831825,2030.6959711845884,1975.5952252504044
2,,,,,,,,,,,,,,,,,,,,,705.5016631090673,1133.9901270480077,503.44146473884206,1135.6857700882965,283.7206067373837,1192.9160972581194,93.39324863445614,1247.1259011606826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,1361.4747129460452,1312.5110309579356,1360.2490111985828,1370.8996523497028,1377.488060903152,1393.7987876500672,1365.6520111567852,1421.1490882892888,1361.039545939733,1481.27680760631,1366.1177218035116,1496.3067658416433,1370.8968905735076,1503.2073386209472,1380.447207479173,1517.1127081797708,1392.348036182825,1534.204474929487,1400.0168153960242,1547.7778345596066,1410.8896839578676,1562.9890560133194,,,,,,,1579.4621309803365,1630.4529596240247,1614.9121940405512,1624.1959590457507,,,1953.6597688964305,1584.72781480004,1999.2193027064804,1451.3139726319841,1881.134729487148,1357.736347395542,1789.3861168425396,1279.3127870193805,1708.4143381103065,1242.2148473876418,1676.7682536642103,1187.6093083544936,1624.4228601750524,1130.1273080997867,1489.5691319168593,1059.5491248425044,1372.0689292014322,1013.6661299775897,1266.7033501692229,1008.4445848121271,1142.3941906943203,974.8994174517323,1020.8006508293935,958.6000507348216,970.1579698704019,1005.135885824641,941.89224922014,1070.520987976901,900.8324605378984,1140.9808452906425,832.8743905784776,1215.9069243971587,734.7968009673615,1249.5492510355382,710.6730588459188,1375.4319633972132,661.160765568531,1436.7833047690563,690.9458790007011,1634.1911756895313,671.8063796092532,1731.3294410669102,689.6723913281864,1828.7208595578643,608.4556746309058,1877.2835403892682,509.0720288323693,1944.2425336217195,585.1250318412195,2059.057023599339,811.9061083484224,1995.6746710476157,879.2493161700967,1826.196179738921,809.4157451422204,1666.8881971687626,748.7275836783202,1527.0248630701697,748.7256236648401,1526.9803254137964,693.4073543117962,1378.2820057963904,681.5679185832254,1284.618237920431,542.6472696825074,1291.1618877482072,524.0770586788229,1416.2080988251819,521.0417766628776,1565.903724010803,629.3737992926649,1638.4648420845563,,,,,,,,,1225.1925633232936,1525.7106004213617,1273.5469687426375,1405.3422193028875,1325.4996195227568,1342.628264586274,1397.2368561229514,1275.847017401534,1468.3254824728585,1212.6809436577605,1565.721547978959,1081.2908113883468,1533.2713632114167,888.4814264407845,,,,,,,,,1063.5007299250724,896.6504839334556,1031.4664855678684,910.7171359260383,887.7703588677257,986.9790589303751,768.7058149428684,1093.653560890741,731.2250366600198,1166.393463504469,635.755053232529,1204.0825044569572,542.4364541463234,1299.8901192388162,608.9095383327074,1453.7202200736383,768.7875014716628,1556.4631684503736,,,1028.0524993569834,1511.229008219578,1112.374661560875,1430.783495595685,1208.1699380038556,1448.025486544734,1380.9992439526934,1439.170239696578,1372.1927410533003,1317.0204902369749,1280.0638048275825,1261.6695899104127,1128.0700698224641,1136.3240754543747,932.2009596498831,1118.0990481596757,897.1953009273345,1092.7158364825402,796.2911576264439,1048.3046709032326
